region,region_code,period,state_fips,county_fips,fips,all_providers,all_primary_care_providers,all_physicians,all_primary_care_physicians,all_nurse_practitioners,all_primary_care_nurse_practitioners,all_physician_assistants,all_primary_care_physician_assistants
National,US,2011,0,,,716594,302739,598352,238356,68473,41750,49776,22633
Alabama,AL,2011,1,,,9676,4064,8281,3341,1036,617,359,106
Alaska,AK,2011,2,,,1933,975,1445,647,246,162,242,166
Arizona,AZ,2011,4,,,14530,5898,11622,4312,1619,970,1289,616
Arkansas,AR,2011,5,,,5456,2520,4589,1964,716,479,151,77
California,CA,2011,6,,,76529,32382,66738,26511,5043,3291,4748,2580
Colorado,CO,2011,8,,,12331,5253,9777,3774,1129,716,1425,763
Connecticut,CT,2011,9,,,10542,4068,8819,3215,1012,586,712,267
Delaware,DE,2011,10,,,2298,927,1908,748,239,130,151,49
District Of Columbia,DC,2011,11,,,2589,849,2318,726,177,89,94,34
Florida,FL,2011,12,,,44861,18140,37148,14480,4512,2483,3201,1177
Georgia,GA,2011,13,,,19413,8287,15722,6383,1963,1276,1728,628
Hawaii,HI,2011,15,,,2855,1251,2615,1098,145,100,95,53
Idaho,ID,2011,16,,,3626,1584,2715,1042,416,269,495,273
Illinois,IL,2011,17,,,27624,12095,24212,10234,1893,1175,1519,686
Indiana,IN,2011,18,,,14534,5995,12169,4778,1876,1070,489,147
Iowa,IA,2011,19,,,6313,3043,4937,2190,745,472,632,381
Kansas,KS,2011,20,,,6628,3028,5109,2198,878,506,641,324
Kentucky,KY,2011,21,,,10127,4488,8038,3229,1492,952,598,307
Louisiana,LA,2011,22,,,9975,4029,8481,3238,1088,667,406,124
Maine,ME,2011,23,,,3992,1935,3078,1364,574,387,340,184
Maryland,MD,2011,24,,,14306,5997,12327,4944,1095,678,884,375
Massachusetts,MA,2011,25,,,20107,8525,16903,6676,2398,1537,806,312
Michigan,MI,2011,26,,,23388,10499,19930,8624,1589,969,1869,906
Minnesota,MN,2011,27,,,12990,5778,10760,4470,1285,823,944,485
Mississippi,MS,2011,28,,,5977,2726,4738,1891,1153,808,85,27
Missouri,MO,2011,29,,,13678,5786,11458,4441,1819,1207,401,138
Montana,MT,2011,30,,,2495,1163,1905,802,299,205,291,156
Nebraska,NE,2011,31,,,4841,2123,3663,1476,529,278,649,369
Nevada,NV,2011,32,,,5067,2013,4276,1581,390,249,401,183
New Hampshire,NH,2011,33,,,3671,1669,2863,1217,503,324,306,128
New Jersey,NJ,2011,34,,,21599,8700,19449,7735,1373,704,777,261
New Mexico,NM,2011,35,,,4325,1991,3453,1438,506,350,366,203
New York,NY,2011,36,,,54784,22017,46387,17821,4715,2566,3681,1630
North Carolina,NC,2011,37,,,22057,9680,17127,7076,2162,1357,2769,1247
North Dakota,ND,2011,38,,,1785,780,1359,529,263,156,163,95
